comment,score
Հիանալի աշխատում է,5
Սխալ է աշխատում,1
Շատ գոհ եմ,5
Սխալ է աշխատում,1
Հիանալի աշխատում է,5
Սխալ է աշխատում,1
Ապրեք շատ լավն է,5
Խնդիրներ կան,1
Շատ լավ հավելված է,5
Խնդիրներ կան,1
Հիանալի աշխատում է,5
Վատ ծառայություն,1
Շատ լավ հավելված է,5
Շատ վատ է աշխատում,1
Գերազանց որակ,5
Շատ վատ է աշխատում,1
Շատ լավ հավելված է,5
Շատ վատ է աշխատում,1
Շատ լավ հավելված է,5
Դուրս չեկավ,1
Հիանալի աշխատում է,5
Դուրս չեկավ,1
Հիանալի աշխատում է,5
Խնդիրներ կան,1
Շատ գոհ եմ,5
Խնդիրներ կան,1
Գերազանց որակ,5
Շատ վատ է աշխատում,1
Հիանալի աշխատում է,5
Դուրս չեկավ,1
Հիանալի աշխատում է,5
Խնդիրներ կան,1
Ապրեք շատ լավն է,5
Վատ ծառայություն,1
Ապրեք շատ լավն է,5
Շատ վատ է աշխատում,1
Շատ լավ հավելված է,5
Վատ ծառայություն,1
Գերազանց որակ,5
Վատ ծառայություն,1
Հիանալի աշխատում է,5
Վատ ծառայություն,1
Հիանալի աշխատում է,5
Սխալ է աշխատում,1
Ապրեք շատ լավն է,5
Շատ վատ է աշխատում,1
Գերազանց որակ,5
Սխալ է աշխատում,1
Գերազանց որակ,5
Վատ ծառայություն,1
Ապրեք շատ լավն է,5
Շատ վատ է աշխատում,1
Հիանալի աշխատում է,5
Սխալ է աշխատում,1
Ապրեք շատ լավն է,5
Սխալ է աշխատում,1
Հիանալի աշխատում է,5
Սխալ է աշխատում,1
Հիանալի աշխատում է,5
Վատ ծառայություն,1
Հիանալի աշխատում է,5
Շատ վատ է աշխատում,1
Շատ լավ հավելված է,5
Սխալ է աշխատում,1
Ապրեք շատ լավն է,5
Դուրս չեկավ,1
Շատ գոհ եմ,5
Խնդիրներ կան,1
Շատ գոհ եմ,5
Խնդիրներ կան,1
Գերազանց որակ,5
Դուրս չեկավ,1
Հիանալի աշխատում է,5
Վատ ծառայություն,1
Շատ գոհ եմ,5
Խնդիրներ կան,1
Շատ լավ հավելված է,5
Դուրս չեկավ,1
Շատ գոհ եմ,5
Դուրս չեկավ,1
Շատ գոհ եմ,5
Վատ ծառայություն,1
Շատ լավ հավելված է,5
Վատ ծառայություն,1
Ապրեք շատ լավն է,5
Վատ ծառայություն,1
Գերազանց որակ,5
Խնդիրներ կան,1
Հիանալի աշխատում է,5
Դուրս չեկավ,1
Գերազանց որակ,5
Խնդիրներ կան,1
Շատ գոհ եմ,5
Խնդիրներ կան,1
Ապրեք շատ լավն է,5
Խնդիրներ կան,1
Ապրեք շատ լավն է,5
Դուրս չեկավ,1
Շատ լավ հավելված է,5
Դուրս չեկավ,1
Ապրեք շատ լավն է,5
Դուրս չեկավ,1
Գերազանց որակ,5
Սխալ է աշխատում,1
Ապրեք շատ լավն է,5
Շատ վատ է աշխատում,1
Ապրեք շատ լավն է,5
Խնդիրներ կան,1
Գերազանց որակ,5
Դուրս չեկավ,1
Գերազանց որակ,5
Սխալ է աշխատում,1
Գերազանց որակ,5
Սխալ է աշխատում,1
Շատ գոհ եմ,5
Սխալ է աշխատում,1
Շատ լավ հավելված է,5
Դուրս չեկավ,1
Ապրեք շատ լավն է,5
Վատ ծառայություն,1
Շատ լավ հավելված է,5
Սխալ է աշխատում,1
Ապրեք շատ լավն է,5
Սխալ է աշխատում,1
Հիանալի աշխատում է,5
Վատ ծառայություն,1
Գերազանց որակ,5
Վատ ծառայություն,1
